2280,D,NUYTINCK,Sampdoria,24,5.75,5.69,0,0,0,0,0,0,1,5,0,0
2758,D,GUNTER,Sampdoria,23,5.63,5.7,1,0,0,0,0,0,1,5,0,0
2769,D,MAGNANI,Verona,24,5.81,5.58,0,0,0,0,0,0,1,7,1,1
4323,D,ZEEGELAAR,Udinese,6,5.75,6,1,0,0,0,0,0,0,1,1,0
4407,D,IGOR,Fiorentina,26,5.73,5.54,0,0,0,0,0,0,0,8,1,0
4493,D,DAWIDOWICZ,Verona,22,5.8,5.8,1,0,0,0,0,0,1,6,1,0
4657,D,CELIK,Roma,21,5.81,5.69,0,0,0,0,0,0,1,5,1,0
5450,D,STOJANOVIC,Empoli,23,5.7,5.67,0,0,0,0,0,0,1,3,0,0
5475,D,AMIAN,Spezia,30,5.65,5.53,0,0,0,0,0,0,0,5,1,0
5554,D,DANILIUC,Salernitana,27,5.69,5.5,0,0,0,0,0,0,0,10,0,0
5793,D,KASIUS,Bologna,6,6,6.25,0,0,0,0,0,0,2,1,0,0
6002,D,AIWU,Cremonese,22,5.61,5.55,0,0,0,0,0,0,0,3,0,0
6153,D,WISNIEWSKI,Spezia,11,5.73,5.5,1,0,0,0,0,0,0,3,0,2
244,D,GHIGLIONE,Cremonese,11,5.82,6,1,0,0,0,0,0,1,4,0,0
294,D,RUGANI,Juventus,7,6,6,0,0,0,0,0,0,0,0,0,0
358,D,"DE SCIGLIO",Juventus,17,5.76,5.76,0,0,0,0,0,0,0,0,0,0
612,D,BIANCHETTI,Cremonese,25,5.58,5.6,1,0,0,0,0,0,0,5,0,0
662,D,"ALEX SANDRO",Juventus,23,5.61,5.52,0,0,0,0,0,0,1,4,1,0
1868,D,MURRU,Sampdoria,17,5.56,5.47,0,0,0,0,0,0,0,3,0,0
1898,D,SAMPIRISI,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
2104,D,BERESZYNSKI,Napoli,17,5.71,5.71,0,0,0,0,0,0,1,2,0,0
2130,D,HATEBOER,Atalanta,17,5.88,5.91,1,0,0,0,0,0,1,7,0,0
2174,D,VENUTI,Fiorentina,16,5.72,5.66,0,0,0,0,0,0,0,2,0,0
2184,D,GRAVILLON,Torino,5,5.9,5.7,0,0,0,0,0,0,0,2,0,0
2300,D,LEVERBE,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0
2312,D,HRISTOV,Spezia,8,5.69,5.69,0,0,0,0,0,0,0,0,0,0
2355,D,MARLON,Monza,24,5.73,5.46,0,0,0,0,0,0,0,7,1,1
2633,D,KJAER,Milan,14,5.96,5.82,0,0,0,0,0,0,0,4,0,0
2728,D,"PELLEGRINI LU.",Lazio,3,6.17,5.83,0,0,0,0,0,0,0,3,0,0
2745,D,CALABRESI,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
4374,D,WALUKIEWICZ,Empoli,9,5.89,5.89,0,0,0,0,0,0,0,0,0,0
4432,D,OKOLI,Atalanta,14,5.71,5.61,0,0,0,0,0,0,0,3,0,0
4758,D,BENKOVIC,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
4934,D,LOVATO,Salernitana,14,5.57,5.5,0,0,0,0,0,0,0,2,0,0
4946,D,FRABOTTA,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
