Id,R,Nome,Squadra,Pg,Gf,Gs,Ass,Amm,Esp,Mv,Mf,Mv2,Mf2,Mv3,Mf3,Mv4,Mf4,Mv5,Mf5,Hmf
2839,A,SOTTIL,Fiorentina,18,0,0,0,3,0,5.79,5.71,2.9,2.86,0.0,0.0,0.0,0.0,0.0,0.0,2.86
2841,A,VLAHOVIC,Fiorentina,30,6,0,0,4,1,5.85,6.41,5.74,6.02,0.0,0.0,0.0,0.0,0.0,0.0,6.02
2842,A,ZANIMACCHIA,Juventus,2,0,0,0,0,0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2844,A,COLIDIO,Inter,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2852,C,RICCARDI,Roma,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2853,A,MONCINI,SPAL,4,0,0,0,0,0,5.33,5.33,2.66,2.66,0.0,0.0,0.0,0.0,0.0,0.0,2.66
2854,C,BRADARIC,Cagliari,0,0,0,0,0,0,0.0,0.0,2.9,2.82,0.0,0.0,0.0,0.0,0.0,0.0,2.82
2855,C,VIEIRA,Sampdoria,27,0,0,1,11,1,5.68,5.48,5.79,5.64,0.0,0.0,0.0,0.0,0.0,0.0,5.64
2857,C,TRAORE' HJ.,Sassuolo,31,4,0,1,3,0,6.0,6.41,5.98,6.29,0.0,0.0,0.0,0.0,0.0,0.0,6.29
2860,D,MALCUIT,Napoli,4,0,0,0,0,0,6.0,6.0,6.06,6.08,0.0,0.0,0.0,0.0,0.0,0.0,6.08
2865,D,AINA,Torino,32,0,0,1,8,0,5.64,5.53,5.76,5.76,0.0,0.0,0.0,0.0,0.0,0.0,5.76
2868,A,RIGONI E,Sampdoria,8,0,0,1,2,0,5.64,5.64,5.65,6.12,0.0,0.0,0.0,0.0,0.0,0.0,6.12
2869,D,DJIDJI,Torino,17,0,0,0,1,0,5.27,5.08,5.6,5.48,0.0,0.0,0.0,0.0,0.0,0.0,5.48
2870,D,TROOST-EKONG,Udinese,30,0,0,0,5,0,5.69,5.6,5.73,5.65,0.0,0.0,0.0,0.0,0.0,0.0,5.65
2871,D,KLAVAN,Cagliari,31,0,0,0,4,0,5.86,5.71,5.86,5.76,0.0,0.0,0.0,0.0,0.0,0.0,5.76
2873,A,TEODORCZYK,Udinese,14,0,0,0,1,0,5.7,5.6,5.7,5.64,0.0,0.0,0.0,0.0,0.0,0.0,5.64
4178,D,ASCACIBAR,Atalanta,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4228,C,GHEZZAL,Fiorentina,19,1,0,0,5,0,5.8,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4237,D,DANILO,Juventus,22,2,0,0,2,1,5.75,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4245,D,SMALLING,Roma,30,3,0,1,2,0,6.22,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4287,C,LOBOTKA,Napoli,14,0,0,0,0,0,6.08,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4292,D,HERNANDEZ T.,Milan,33,6,0,2,10,0,6.29,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
