Id,R,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au,Season
2297,P,"ROSSI F.",Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
2338,P,COSTIL,Salernitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
2722,P,"RAVAGLIA F.",Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18
2722,P,"RAVAGLIA F.",Bologna,4,5.88,3.38,0,10,0,0,0,0,0,0,0,0,2020-21
2722,P,"RAVAGLIA F.",Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
2722,P,"RAVAGLIA F.",Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
2799,P,FRATTALI,Parma,1,6.5,4.5,0,2,0,0,0,0,0,0,0,0,2018-19
2799,P,FRATTALI,Frosinone,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
2845,P,CONTINI,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-19
2845,P,CONTINI,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-21
2845,P,CONTINI,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-22
2845,P,CONTINI,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
2845,P,CONTINI,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
4351,P,BRANCOLINI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-19
4351,P,BRANCOLINI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-21
4351,P,BRANCOLINI,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
4351,P,BRANCOLINI,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
4468,P,BLEVE,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
4468,P,BLEVE,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
4491,P,"BERARDI A.",Verona,1,6,6,0,0,0,0,0,0,0,0,0,0,2020-21
4491,P,"BERARDI A.",Verona,1,6.5,3.5,0,3,0,0,0,0,0,0,0,0,2021-22
4491,P,"BERARDI A.",Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
4491,P,"BERARDI A.",Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
4525,P,GEMELLO,Torino,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0,2021-22
4525,P,GEMELLO,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
4525,P,GEMELLO,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
2130,D,HATEBOER,Atalanta,32,6,5.95,0,0,0,0,0,0,0,3,0,0,2017-18
2130,D,HATEBOER,Atalanta,34,6.06,6.57,5,0,0,0,0,0,5,5,0,0,2018-19
2130,D,HATEBOER,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
2130,D,HATEBOER,Atalanta,22,6.16,6.41,2,0,0,0,0,0,1,3,0,0,2020-21
5304,P,BOER,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-21
